latitude,longitude,elevation,utc_offset_seconds,timezone,timezone_abbreviation
13.321617,74.79452,97.0,19800,Asia/Kolkata,GMT+5:30

time,temperature_2m_mean (°C),precipitation_sum (mm),shortwave_radiation_sum (MJ/m²),apparent_temperature_mean (°C),wind_speed_10m_max (km/h),et0_fao_evapotranspiration (mm),sunshine_duration (s),wind_direction_10m_dominant (°),pressure_msl_mean (hPa),cloud_cover_mean (%),dew_point_2m_mean (°C),soil_moisture_0_to_7cm_mean (m³/m³)
2011-01-04,24.7,0.00,19.69,27.7,17.4,4.09,36798.94,325,1009.7,70,20.4,0.278
2011-01-05,25.4,0.00,17.77,28.5,15.9,3.91,36494.80,309,1008.7,85,20.4,0.276
2011-01-06,26.2,0.00,19.31,28.8,18.4,4.45,36924.74,319,1008.7,61,19.4,0.273
2011-01-07,25.6,0.00,20.26,28.0,15.6,4.52,37417.72,178,1008.6,12,18.6,0.270
2011-01-08,25.2,0.00,20.29,28.2,15.1,4.38,37473.21,313,1008.3,29,20.0,0.268
2011-01-09,25.2,0.00,20.82,28.4,18.3,4.49,37701.15,297,1008.0,52,20.0,0.266
2011-01-10,25.2,0.00,20.39,28.6,16.6,4.36,36708.97,280,1009.1,85,20.4,0.264
2011-01-11,25.2,0.00,21.64,26.9,16.4,4.88,37715.00,294,1009.4,27,16.1,0.262
2011-01-12,24.2,0.00,21.82,25.8,16.5,4.77,37810.71,279,1009.1,7,15.9,0.261
2011-01-13,24.2,0.00,21.95,25.8,16.0,4.81,37846.91,283,1009.5,8,16.3,0.259
2011-01-14,23.8,0.00,22.00,24.9,16.3,4.83,37825.96,243,1010.1,60,15.0,0.258
2011-01-15,24.1,0.00,22.19,25.1,16.4,4.95,37918.36,312,1010.9,12,15.3,0.257
2011-01-16,24.1,0.00,21.78,25.4,14.0,4.84,37953.46,311,1010.2,2,15.4,0.256
2011-01-17,23.9,0.00,21.03,26.3,13.2,4.42,37933.00,222,1010.2,4,18.4,0.255
2011-01-18,24.5,0.00,21.67,26.9,15.0,4.60,37967.43,294,1009.8,0,18.1,0.255
2011-01-19,24.1,0.00,21.78,26.6,15.0,4.64,38001.11,224,1009.5,6,18.4,0.254
2011-01-20,24.5,0.00,21.77,27.5,17.7,4.60,38033.94,266,1010.2,11,19.5,0.254
2011-01-21,25.7,0.00,21.69,28.0,16.9,5.08,38065.96,302,1009.9,73,18.4,0.253
2011-01-22,25.5,0.00,22.10,26.2,18.8,5.43,38097.65,271,1010.9,15,15.1,0.253
2011-01-23,25.4,0.00,22.13,27.1,18.0,5.12,38129.08,255,1012.0,30,17.0,0.252
2011-01-24,25.7,0.00,22.41,26.7,15.6,5.30,38160.19,318,1011.5,0,14.8,0.252
2011-01-25,25.3,0.00,22.78,25.4,18.0,5.54,38190.95,300,1011.3,1,12.7,0.252
2011-01-26,25.2,0.00,22.46,26.6,16.9,5.17,38221.34,267,1011.6,76,15.7,0.252
2011-01-27,25.3,0.00,22.74,27.1,16.9,5.16,38251.30,295,1012.2,12,16.7,0.251
2011-01-28,25.2,0.00,22.83,26.8,18.1,5.20,38280.82,306,1011.7,40,16.5,0.251
2011-01-29,25.4,0.00,22.73,26.5,18.8,5.40,38309.83,316,1010.3,12,15.7,0.251
2011-01-30,25.8,0.00,23.02,26.3,19.1,5.73,38338.31,328,1010.2,2,13.8,0.251
2011-01-31,26.1,0.00,22.99,26.6,19.1,5.79,38366.21,324,1010.4,11,14.3,0.251
2011-02-01,26.5,0.00,22.35,26.0,17.6,6.19,38374.22,353,1010.9,36,11.6,0.251
2011-02-02,26.2,0.00,23.19,25.5,18.8,6.39,38420.15,356,1011.0,13,10.6,0.251
2011-02-03,25.7,0.00,23.25,25.9,18.9,5.85,38429.39,117,1010.9,38,13.2,0.251
2011-02-04,25.8,0.00,22.97,26.9,18.8,5.62,38456.12,328,1011.5,41,15.9,0.251
2011-02-05,25.8,0.00,23.44,26.5,18.3,5.73,38556.75,295,1009.2,22,14.2,0.251
2011-02-06,25.2,0.00,23.63,26.3,20.4,5.50,38581.36,191,1009.5,5,15.3,0.251
2011-02-07,25.4,0.00,23.26,27.4,18.4,5.21,38542.19,290,1009.6,18,16.9,0.251
2011-02-08,24.9,0.00,23.08,27.7,17.3,5.00,38564.11,296,1007.7,18,19.2,0.251
2011-02-09,24.8,0.00,23.45,27.5,17.6,5.05,38650.19,219,1006.8,11,19.1,0.251
2011-02-10,25.2,0.00,23.52,27.8,15.3,5.09,38671.36,312,1008.6,4,19.2,0.251
2011-02-11,24.6,0.00,24.35,25.1,18.5,5.74,38759.01,234,1009.7,17,13.7,0.251
2011-02-12,24.9,0.00,24.22,25.9,19.3,5.63,38779.60,273,1009.8,3,15.2,0.251
2011-02-13,25.0,0.00,23.98,26.6,18.2,5.41,38799.31,272,1008.8,1,16.0,0.251
2011-02-14,24.5,0.00,23.43,27.0,14.0,4.98,38818.16,267,1008.7,11,18.1,0.251
2011-02-15,24.6,0.00,22.27,27.2,13.8,4.68,38705.55,300,1010.2,16,19.0,0.251
2011-02-16,24.6,0.00,21.37,27.2,13.9,4.53,38724.21,325,1011.2,27,19.3,0.251
2011-02-17,24.7,0.00,23.66,26.6,19.7,5.23,38794.09,334,1011.0,9,18.6,0.251
2011-02-18,24.3,0.00,23.16,26.1,17.5,5.06,38759.75,331,1011.0,24,18.4,0.251
2011-02-19,23.7,0.00,23.35,25.5,14.6,4.97,38899.41,327,1011.6,57,17.5,0.251
2011-02-20,23.9,0.00,23.24,25.6,15.8,5.06,38793.01,332,1012.1,10,17.6,0.251
2011-02-21,24.4,0.00,23.65,26.4,14.9,5.17,39088.50,312,1011.7,2,17.6,0.251
2011-02-22,25.7,0.00,22.94,28.2,17.5,5.17,39020.74,313,1010.8,8,18.9,0.251
2011-02-23,26.4,0.00,21.73,29.4,19.8,4.98,38838.96,320,1012.0,17,20.6,0.252
2011-02-24,26.3,0.00,21.68,29.6,20.9,4.77,38873.98,323,1011.4,20,21.6,0.254
2011-02-25,25.8,0.00,23.75,28.1,21.2,5.38,39056.59,323,1009.7,7,19.7,0.255
2011-02-26,25.3,0.00,24.42,27.2,20.8,5.57,39244.29,325,1009.8,11,18.7,0.254
2011-02-27,25.6,0.00,23.21,28.0,16.5,5.32,39437.04,308,1010.6,9,18.7,0.253
2011-02-28,26.9,0.00,23.26,29.7,18.1,5.42,39451.79,311,1010.5,18,19.6,0.253
2011-03-01,26.5,0.00,24.78,29.4,19.1,5.67,39558.68,234,1009.9,0,19.5,0.252
2011-03-02,26.7,0.00,24.13,30.1,20.7,5.50,39573.33,297,1009.4,10,20.7,0.252
2011-03-03,26.7,0.00,24.78,30.5,20.2,5.49,39682.61,270,1009.5,3,20.9,0.251
2011-03-04,26.4,0.00,25.18,30.3,18.6,5.45,39696.65,251,1009.2,3,21.0,0.251
2011-03-05,26.5,0.00,23.95,30.3,16.5,5.15,39512.86,232,1009.7,11,21.0,0.251
2011-03-06,26.5,0.00,25.03,30.4,18.8,5.38,39821.66,240,1010.8,6,21.3,0.251
2011-03-07,26.7,0.00,25.46,30.9,18.1,5.51,39935.47,269,1011.9,12,21.7,0.251
2011-03-08,26.9,0.00,24.87,30.4,19.5,5.64,40051.16,305,1011.1,16,20.8,0.251
2011-03-09,26.9,0.00,23.86,30.7,15.9,5.34,39752.75,285,1010.9,16,21.3,0.251
2011-03-10,27.1,0.00,23.09,31.4,15.8,5.10,39445.27,297,1010.3,24,22.3,0.251
2011-03-11,26.8,0.00,23.65,30.2,17.9,5.32,39128.84,306,1009.3,18,20.7,0.251
2011-03-12,26.7,0.00,23.16,30.4,17.4,5.15,40208.41,280,1008.2,10,20.8,0.251
2011-03-13,26.6,0.20,22.81,30.4,18.5,5.00,40438.81,240,1009.5,28,21.9,0.253
2011-03-14,27.6,0.00,24.25,31.5,23.8,5.63,39677.52,310,1008.8,31,21.9,0.255
2011-03-15,27.2,0.30,23.66,31.4,16.9,5.18,40465.08,243,1007.7,34,22.6,0.256
2011-03-16,27.3,0.80,23.84,31.7,19.5,5.21,40703.58,226,1006.5,19,22.6,0.261
2011-03-17,27.8,0.00,24.97,31.9,20.9,5.62,40946.41,256,1007.5,9,22.0,0.264
2011-03-18,27.4,0.00,26.75,30.9,21.5,6.16,41017.82,278,1007.7,12,20.2,0.261
2011-03-19,26.7,0.00,24.11,30.6,20.7,5.25,40860.32,311,1007.6,12,21.6,0.259
2011-03-20,27.1,0.00,24.87,31.0,15.8,5.40,40165.71,285,1008.2,17,21.3,0.257
2011-03-21,27.2,0.00,24.20,30.7,15.2,5.43,40767.38,301,1009.9,28,20.9,0.256
2011-03-22,27.3,0.00,24.10,30.9,16.6,5.44,40898.82,310,1009.9,27,21.5,0.255
2011-03-23,27.7,0.00,24.20,31.1,17.4,5.60,41152.98,310,1009.2,20,21.3,0.255
2011-03-24,27.5,0.00,23.22,31.2,17.1,5.33,40431.86,306,1010.0,17,21.4,0.254
2011-03-25,27.3,0.00,24.00,30.8,18.6,5.44,41054.96,314,1009.5,9,21.6,0.253
2011-03-26,27.4,0.00,24.84,31.1,20.8,5.59,41314.61,310,1010.0,8,21.6,0.253
2011-03-27,27.3,0.00,23.76,31.3,17.4,5.30,41417.50,313,1009.9,33,22.1,0.254
2011-03-28,28.0,1.30,22.90,32.6,17.2,5.08,40452.33,294,1009.8,58,22.8,0.262
2011-03-29,28.2,0.90,22.84,32.7,14.4,5.08,40456.21,259,1010.5,53,22.6,0.273
2011-03-30,28.7,0.00,23.00,33.6,12.3,5.15,41231.39,263,1010.7,31,23.0,0.276
2011-03-31,28.3,0.30,22.50,33.3,13.0,5.02,40592.43,288,1010.6,34,23.4,0.275
2011-04-01,28.3,0.30,23.63,32.7,19.1,5.36,41637.08,303,1010.3,27,22.6,0.277
2011-04-02,27.7,0.00,25.38,31.6,15.5,5.77,41680.55,274,1010.3,8,21.3,0.274
2011-04-03,26.9,0.00,25.34,30.4,14.8,5.62,41723.83,297,1010.9,13,20.5,0.269
2011-04-04,26.6,0.00,26.11,29.5,16.7,5.81,41673.98,315,1010.6,13,20.1,0.266
2011-04-05,26.5,0.00,26.27,29.4,19.7,5.93,41809.63,317,1010.6,6,19.7,0.263
2011-04-06,26.9,0.00,25.67,30.2,15.1,5.72,41852.11,302,1010.2,11,20.0,0.261
2011-04-07,27.7,0.00,23.94,30.8,17.7,5.69,41894.25,307,1010.4,17,20.2,0.258
2011-04-08,27.7,0.00,24.86,31.5,18.1,5.66,41936.05,306,1011.0,21,21.6,0.257
2011-04-09,28.5,0.00,23.93,32.4,18.9,5.73,41311.75,310,1011.0,33,22.1,0.256
2011-04-10,27.9,4.10,20.40,33.2,13.1,4.30,39030.61,306,1011.3,65,23.2,0.284
2011-04-11,27.7,0.00,23.98,32.8,15.9,5.25,42059.01,298,1010.1,30,23.3,0.323
2011-04-12,28.4,1.50,22.95,33.3,13.2,5.11,42099.17,282,1010.0,23,23.4,0.318
2011-04-13,28.3,0.00,23.64,32.5,14.8,5.41,41624.60,307,1010.1,16,22.2,0.308
2011-04-14,26.9,3.40,17.55,31.2,14.2,3.73,42179.23,298,1009.7,67,22.7,0.327
2011-04-15,27.2,3.50,20.58,32.2,13.1,4.41,41357.89,314,1008.4,55,23.4,0.356
2011-04-16,28.1,0.00,23.27,33.0,14.1,5.20,42258.76,311,1008.8,18,23.2,0.360
2011-04-17,28.3,0.00,23.09,33.4,12.8,5.11,42298.24,304,1009.8,31,23.6,0.343
2011-04-18,28.7,0.50,23.37,33.7,17.4,5.27,41958.96,310,1008.2,35,23.8,0.330
2011-04-19,28.6,1.00,20.82,33.5,13.6,4.75,40952.29,262,1007.9,90,23.5,0.320
2011-04-20,28.6,0.90,18.96,33.2,16.9,4.56,40290.04,296,1007.6,93,23.1,0.313
2011-04-21,27.5,11.00,20.02,32.4,12.2,4.32,32218.20,196,1008.2,95,23.3,0.359
2011-04-22,26.4,17.90,17.23,31.3,13.6,3.57,25510.88,212,1008.0,98,23.5,0.459
2011-04-23,26.5,13.90,17.94,31.3,12.6,3.76,37975.32,218,1007.6,99,23.4,0.470
2011-04-24,26.4,5.00,21.82,31.2,12.2,4.53,38710.17,295,1007.7,85,23.0,0.473
2011-04-25,27.1,5.40,21.27,32.4,14.7,4.35,40849.26,313,1007.2,52,24.1,0.471
2011-04-26,27.7,3.10,20.75,33.1,14.1,4.43,41002.20,309,1007.1,89,24.2,0.459
2011-04-27,28.3,0.00,24.60,33.3,18.3,5.29,42676.70,321,1006.2,38,24.0,0.438
2011-04-28,27.7,4.40,19.54,33.0,18.9,4.00,40550.99,292,1006.2,47,24.5,0.433
2011-04-29,27.4,1.30,20.89,31.7,19.3,4.48,42135.18,309,1006.7,62,23.7,0.441
2011-04-30,28.0,2.90,20.44,32.8,18.1,4.41,40702.37,315,1007.3,84,24.1,0.430
2011-05-01,28.0,1.80,21.14,33.1,17.1,4.59,38666.16,322,1008.3,90,24.1,0.421
2011-05-02,27.7,2.60,19.13,32.6,15.5,4.09,40744.14,314,1008.7,64,24.1,0.421
2011-05-03,27.9,0.60,21.90,32.6,19.4,4.80,42882.38,321,1008.3,43,24.0,0.407
2011-05-04,27.9,0.00,21.33,31.9,19.6,4.89,42915.27,325,1009.2,78,23.2,0.390
2011-05-05,28.0,0.00,24.60,31.6,21.9,5.60,42296.33,327,1008.9,31,23.3,0.372
2011-05-06,28.0,0.00,24.23,31.6,20.9,5.48,42944.31,324,1009.1,50,22.7,0.355
2011-05-07,27.3,0.30,25.25,30.8,19.0,5.56,42956.05,326,1009.3,34,21.9,0.342
2011-05-08,27.0,0.00,22.70,30.4,18.3,5.16,42443.97,314,1008.1,39,21.5,0.330
2011-05-09,27.0,1.60,22.58,31.5,16.1,4.70,40883.07,293,1008.4,28,22.5,0.329
2011-05-10,27.2,1.90,23.90,32.0,13.3,5.04,41924.44,275,1008.7,26,22.7,0.337
2011-05-11,27.3,1.90,22.22,32.7,12.0,4.62,43005.90,279,1008.6,41,23.6,0.341
2011-05-12,27.4,1.30,21.79,32.5,12.4,4.63,41466.40,281,1008.8,41,23.4,0.352
2011-05-13,28.1,0.00,21.75,32.3,17.4,4.98,43032.39,317,1008.6,67,22.8,0.342
2011-05-14,27.8,0.80,18.69,32.1,15.5,4.33,41978.80,324,1008.4,73,23.0,0.331
2011-05-15,28.0,0.30,21.38,32.7,13.6,4.74,40688.70,327,1009.2,44,23.3,0.324
2011-05-16,28.8,0.00,23.45,34.1,17.6,5.30,42920.59,307,1009.3,46,23.9,0.319
2011-05-17,27.8,5.20,17.28,33.5,10.4,3.65,40419.50,262,1010.1,58,24.5,0.334
2011-05-18,27.4,5.20,17.90,32.4,12.1,3.91,34284.93,280,1009.7,84,23.7,0.412
2011-05-19,27.5,2.20,20.61,32.4,16.2,4.37,42334.18,285,1009.2,65,23.8,0.407
2011-05-20,27.5,0.00,23.75,32.3,16.2,5.12,43131.30,291,1008.2,83,22.9,0.391
2011-05-21,27.8,0.50,22.90,32.4,12.8,4.96,43146.09,255,1008.0,60,22.6,0.371
2011-05-22,27.1,3.80,20.49,32.4,11.2,4.23,42933.50,248,1008.5,66,23.7,0.371
2011-05-23,28.0,1.30,23.40,33.0,16.1,5.13,43177.10,313,1008.9,44,23.6,0.385
2011-05-24,28.0,2.30,20.37,32.7,15.5,4.49,42350.54,324,1008.3,74,24.0,0.375
2011-05-25,28.5,1.00,21.33,33.3,18.1,4.86,42025.50,317,1007.1,66,24.1,0.372
2011-05-26,28.7,1.30,22.04,33.3,18.7,5.12,38751.38,321,1007.7,81,23.9,0.358
2011-05-27,28.1,8.50,21.18,32.8,15.5,4.74,39387.86,314,1008.3,62,23.4,0.355
2011-05-28,27.4,3.20,21.20,32.1,16.0,4.58,37852.50,305,1008.2,90,23.1,0.388
2011-05-29,27.1,6.40,16.58,32.0,17.3,3.64,28800.00,291,1008.6,85,23.5,0.433
2011-05-30,27.4,11.30,19.93,32.3,17.8,4.15,41918.66,313,1008.1,70,24.1,0.447
2011-05-31,26.0,23.90,14.15,30.9,11.5,2.95,21682.70,227,1007.2,92,23.8,0.463
2011-06-01,25.9,21.20,15.82,30.6,17.1,3.18,26008.24,178,1006.2,97,24.0,0.489
2011-06-02,24.7,55.30,3.68,28.3,20.1,0.93,0.00,174,1006.3,100,23.6,0.484
2011-06-03,24.6,55.30,7.09,27.9,25.2,1.42,2323.69,220,1007.4,99,23.6,0.477
2011-06-04,24.7,24.40,9.22,28.1,21.1,1.76,9247.47,204,1007.3,92,23.6,0.486
2011-06-05,25.2,24.70,15.14,29.1,19.4,2.77,36282.75,216,1006.8,95,23.8,0.466
2011-06-06,25.1,25.20,13.10,29.1,18.2,2.51,30837.44,232,1007.5,96,23.6,0.492
2011-06-07,24.7,24.40,13.85,28.5,18.9,2.55,27682.55,203,1007.6,99,23.4,0.487
2011-06-08,25.3,22.20,18.08,29.6,15.5,3.36,35638.58,216,1007.4,94,23.8,0.475
2011-06-09,25.2,27.20,18.06,28.8,19.7,3.30,42883.27,207,1006.9,93,23.6,0.490
2011-06-10,24.9,26.70,16.08,28.6,18.5,2.84,39202.46,227,1007.2,89,23.6,0.493
2011-06-11,25.0,20.10,17.31,29.0,19.5,3.14,42263.03,239,1007.7,93,23.4,0.476
2011-06-12,24.9,15.80,15.17,28.8,18.5,2.83,37037.00,249,1008.7,93,23.3,0.483
2011-06-13,24.6,18.50,15.66,28.6,17.7,2.91,33116.96,255,1009.6,99,23.1,0.503
2011-06-14,24.1,56.40,9.72,27.3,23.7,1.76,15363.49,275,1009.9,96,23.1,0.479
2011-06-15,22.7,42.40,4.94,27.0,11.2,1.09,0.00,238,1010.6,100,21.9,0.490
2011-06-16,23.4,32.20,5.90,27.6,17.4,1.29,476.21,254,1010.3,100,22.4,0.471
2011-06-17,23.6,15.70,7.71,27.3,17.7,1.51,3389.19,264,1008.6,100,22.8,0.490
2011-06-18,25.1,7.90,16.61,29.3,18.0,3.11,35469.80,271,1008.2,99,23.5,0.495
2011-06-19,25.9,5.80,21.69,30.2,18.6,3.98,42450.20,273,1007.2,98,24.1,0.501
2011-06-20,25.9,7.50,21.79,30.0,20.5,4.14,43072.33,274,1007.9,97,23.5,0.508
2011-06-21,25.4,5.70,21.23,29.9,15.2,4.00,43200.00,296,1008.7,98,23.4,0.507
2011-06-22,24.4,13.20,12.83,28.6,15.5,2.50,28110.76,277,1007.8,98,22.8,0.485
2011-06-23,25.0,9.70,16.45,29.6,13.2,3.20,34081.10,295,1006.9,75,23.4,0.455
2011-06-24,24.9,9.00,17.31,29.0,14.9,3.24,37833.78,301,1007.1,87,23.2,0.494
2011-06-25,24.4,19.40,15.41,27.9,17.1,2.75,32776.55,292,1007.0,97,22.9,0.492
2011-06-26,23.7,18.40,10.27,27.1,19.8,1.86,13834.31,287,1007.3,100,22.8,0.489
2011-06-27,23.6,62.90,6.47,27.0,18.6,1.28,10892.70,282,1007.7,100,22.9,0.491
2011-06-28,24.5,14.30,5.99,29.2,13.7,1.29,0.00,258,1007.8,100,23.5,0.482
2011-06-29,25.2,6.90,12.80,29.8,16.8,2.50,28617.07,262,1008.0,99,23.6,0.505
2011-06-30,24.5,19.70,14.99,28.9,16.0,2.83,31816.41,273,1008.3,93,23.0,0.497
2011-07-01,24.2,74.00,8.12,28.4,18.1,1.57,8280.24,271,1008.5,99,23.1,0.474
2011-07-02,23.7,57.40,4.62,28.1,18.3,0.99,791.09,240,1008.5,100,23.0,0.477
2011-07-03,23.8,42.60,10.57,28.3,12.6,2.07,21324.49,249,1008.5,100,22.7,0.479
2011-07-04,23.9,24.80,8.44,28.3,15.9,1.70,7288.30,287,1008.9,100,22.9,0.483
2011-07-05,24.0,10.80,9.66,28.1,13.2,1.91,17270.10,293,1007.3,100,22.8,0.504
2011-07-06,23.4,34.10,3.13,27.0,17.7,0.78,0.00,292,1006.7,100,22.6,0.477
2011-07-07,23.6,14.90,7.81,27.5,15.2,1.52,3073.57,266,1007.0,99,22.7,0.483
2011-07-08,24.4,10.70,16.50,28.5,14.4,3.13,41602.04,269,1010.4,98,22.7,0.474
2011-07-09,25.2,3.20,19.34,30.1,10.6,3.74,39600.00,305,1010.6,88,23.3,0.470
2011-07-10,25.0,14.20,19.70,29.8,16.2,3.72,40815.84,274,1010.1,74,23.3,0.482
2011-07-11,24.3,25.20,13.80,28.1,16.9,2.59,34092.47,304,1008.9,96,22.7,0.476
2011-07-12,24.3,13.90,15.80,28.0,15.6,2.93,35452.89,300,1006.7,100,22.6,0.497
2011-07-13,23.6,19.60,7.63,27.2,16.3,1.52,4550.46,290,1006.2,100,22.7,0.483
2011-07-14,23.7,25.20,5.72,26.7,21.2,1.20,2332.79,270,1006.2,100,22.7,0.494
2011-07-15,24.0,67.70,5.38,26.2,29.5,1.19,0.00,247,1006.2,99,22.9,0.480
2011-07-16,24.0,64.00,4.76,26.4,28.7,1.10,183.88,247,1005.8,100,22.9,0.481
2011-07-17,24.2,56.80,8.75,27.3,27.4,1.60,14701.88,242,1005.7,100,23.3,0.483
2011-07-18,24.4,40.20,11.65,27.7,21.3,2.10,26406.28,257,1007.1,100,23.3,0.474
2011-07-19,24.4,23.50,13.86,28.3,23.1,2.48,30398.82,276,1008.1,100,23.3,0.471
2011-07-20,24.6,17.50,16.92,28.3,18.8,3.15,31551.32,280,1008.0,100,23.0,0.493
2011-07-21,24.3,25.50,15.85,28.3,17.0,2.84,30940.66,281,1008.4,100,23.1,0.467
2011-07-22,24.4,26.50,15.30,28.5,18.1,2.80,31740.77,261,1008.1,100,23.0,0.474
2011-07-23,23.8,34.40,11.95,27.1,17.7,2.21,17270.45,270,1007.5,100,22.6,0.474
2011-07-24,23.8,31.10,13.99,27.2,21.8,2.46,33009.73,281,1006.7,94,22.6,0.490
2011-07-25,23.9,23.00,12.77,27.6,16.0,2.37,26383.14,278,1007.0,95,22.5,0.482
2011-07-26,24.1,32.20,10.98,28.3,17.1,2.08,15462.88,255,1007.9,98,23.0,0.478
2011-07-27,23.9,35.10,6.37,27.7,16.2,1.29,2830.36,275,1008.9,99,23.0,0.484
2011-07-28,23.6,30.00,8.15,27.6,18.4,1.60,5606.10,278,1008.5,99,22.6,0.481
2011-07-29,23.2,44.10,3.83,27.0,14.7,0.86,0.00,283,1008.3,100,22.4,0.477
2011-07-30,23.1,39.30,3.45,27.2,13.4,0.83,0.00,298,1007.9,100,22.4,0.480
2011-07-31,23.6,32.40,5.84,27.7,11.5,1.27,371.39,272,1008.0,99,22.5,0.491
2011-08-01,24.5,9.30,16.12,29.0,15.6,3.07,32940.14,285,1008.2,98,22.8,0.511
2011-08-02,23.8,62.50,5.13,27.7,21.4,1.06,1551.83,251,1007.9,100,22.9,0.478
2011-08-03,23.6,80.10,2.45,26.5,24.6,0.71,0.00,237,1008.3,100,22.7,0.487
2011-08-04,23.1,43.80,3.94,26.5,20.3,0.86,0.00,246,1008.4,100,22.4,0.478
2011-08-05,24.0,35.90,10.13,27.7,18.0,1.92,16750.08,263,1008.1,99,22.9,0.471
2011-08-06,24.2,29.20,12.81,27.7,19.6,2.36,23076.44,273,1007.6,100,22.9,0.498
2011-08-07,23.9,32.10,9.78,27.7,18.4,1.81,15895.80,273,1007.5,99,22.8,0.480
2011-08-08,24.3,15.10,15.50,28.4,19.1,2.82,34611.73,272,1007.0,100,22.9,0.482
2011-08-09,24.7,13.70,16.14,28.9,17.8,2.97,38544.74,255,1007.5,98,23.2,0.483
2011-08-10,24.8,9.30,17.94,29.2,15.5,3.35,37949.42,270,1008.2,99,23.1,0.484
2011-08-11,24.4,15.00,17.53,28.5,18.8,3.16,38595.57,276,1008.6,95,22.9,0.484
2011-08-12,24.4,20.00,15.00,28.6,17.5,2.76,30429.36,289,1006.9,99,23.0,0.480
2011-08-13,24.9,7.00,16.17,29.6,13.4,3.18,30794.04,269,1006.0,100,23.0,0.499
2011-08-14,24.9,7.70,15.90,29.6,9.7,3.12,33839.28,233,1008.4,99,23.1,0.503
2011-08-15,25.1,6.10,20.26,29.6,13.6,3.98,37214.17,267,1009.1,93,22.6,0.499
2011-08-16,24.4,15.20,14.34,28.9,13.8,2.77,22557.90,299,1008.9,99,22.8,0.471
2011-08-17,24.6,8.50,15.09,29.0,13.1,3.04,28968.36,315,1008.1,100,22.9,0.500
2011-08-18,23.7,51.00,9.00,27.7,18.4,1.75,9107.63,275,1008.4,100,22.6,0.496
2011-08-19,23.3,64.00,3.78,27.0,19.1,0.87,0.00,285,1008.0,100,22.6,0.482
2011-08-20,23.2,70.20,2.39,26.5,21.1,0.64,0.00,282,1007.8,100,22.4,0.481
2011-08-21,23.2,61.00,3.60,27.2,15.3,0.82,0.00,302,1007.8,100,22.6,0.482
2011-08-22,23.5,18.70,5.80,27.9,14.9,1.19,834.91,286,1008.0,100,22.8,0.495
2011-08-23,24.1,20.20,9.99,28.2,19.2,1.88,12442.93,298,1008.3,98,23.0,0.478
2011-08-24,24.6,5.10,15.06,29.0,12.6,2.90,27656.10,290,1007.9,99,23.1,0.503
2011-08-25,24.1,10.50,13.20,28.1,13.2,2.53,21798.13,300,1008.8,99,22.6,0.512
2011-08-26,24.3,6.60,14.36,28.7,14.1,2.70,27420.73,302,1009.5,100,22.8,0.498
2011-08-27,23.9,10.70,12.24,27.5,14.6,2.35,20008.40,292,1009.6,96,22.4,0.508
2011-08-28,23.7,16.10,9.33,27.6,12.3,1.87,4406.31,260,1008.8,99,22.4,0.490
2011-08-29,23.5,40.80,8.72,26.9,18.3,1.62,15757.00,256,1008.4,99,22.6,0.477
2011-08-30,23.9,32.30,10.60,27.2,19.1,1.91,19215.01,259,1007.8,98,22.9,0.477
2011-08-31,24.2,113.80,8.02,27.5,22.0,1.57,9604.34,245,1005.9,100,23.2,0.482
2011-09-01,24.0,97.50,7.65,26.6,25.8,1.43,3201.17,247,1006.2,100,23.0,0.491
2011-09-02,23.9,51.80,9.69,26.8,22.8,1.73,10732.41,233,1006.9,100,23.0,0.479
2011-09-03,24.0,33.50,12.21,26.9,23.9,2.16,25852.63,240,1007.5,98,22.7,0.474
2011-09-04,24.3,14.30,17.03,28.2,16.9,3.07,38616.74,243,1008.2,93,22.9,0.487
2011-09-05,24.5,11.70,18.22,28.9,17.1,3.26,38316.85,237,1009.1,98,23.0,0.479
2011-09-06,24.6,14.30,17.67,28.8,15.5,3.22,37532.67,227,1009.4,94,23.0,0.488
2011-09-07,24.2,20.60,14.94,28.1,19.5,2.66,32700.95,249,1009.6,100,22.8,0.477
2011-09-08,24.3,12.30,15.62,28.5,15.9,2.90,33514.30,253,1008.9,100,22.8,0.505
2011-09-09,24.6,13.90,15.84,29.0,11.2,3.01,32559.70,256,1009.4,98,23.1,0.479
2011-09-10,24.6,6.80,16.57,29.1,14.2,3.11,38776.84,245,1009.2,91,23.0,0.500
2011-09-11,24.3,12.70,17.54,28.5,14.3,3.21,38724.98,260,1008.2,92,22.7,0.486
2011-09-12,24.6,12.00,17.52,29.0,14.8,3.36,34445.11,275,1007.3,90,22.7,0.478
2011-09-13,24.3,30.20,16.04,28.6,17.4,2.93,31295.18,262,1007.4,98,22.9,0.478
2011-09-14,23.9,58.40,8.87,27.5,23.3,1.66,9167.61,274,1007.2,99,22.9,0.491
2011-09-15,23.7,57.00,4.82,27.0,22.5,1.02,981.14,284,1007.6,100,22.8,0.480
2011-09-16,23.9,12.20,9.18,28.0,12.1,1.80,15700.53,263,1008.9,99,22.6,0.503
2011-09-17,24.6,5.60,19.14,29.0,13.5,3.58,39559.60,226,1009.7,93,22.8,0.504
2011-09-18,24.3,20.10,16.61,28.7,14.9,3.10,33595.52,222,1010.5,100,22.7,0.494
2011-09-19,24.7,12.80,17.54,29.3,12.1,3.37,30017.00,207,1011.3,93,22.9,0.486
